Trade Date;Close
10/6/2019;9.88
11/6/2019;9.87
12/6/2019;9.86
13/6/2019;9.85
14/6/2019;9.81
18/6/2019;9.86
19/6/2019;9.77
20/6/2019;9.73
21/6/2019;9.78
24/6/2019;9.89
25/6/2019;9.87
26/6/2019;9.94
27/6/2019;10.01
28/6/2019;10.08
1/7/2019;10.19
2/7/2019;10.18
3/7/2019;10.35
4/7/2019;10.44
5/7/2019;10.54
8/7/2019;10.42
9/7/2019;10.04
10/7/2019;10.26
11/7/2019;10.31
12/7/2019;10.29
15/7/2019;10.24
16/7/2019;10.29
17/7/2019;10.4
18/7/2019;10.42
19/7/2019;10.42
22/7/2019;10.42
23/7/2019;10.44
24/7/2019;10.48
25/7/2019;10.59
26/7/2019;10.66
29/7/2019;10.65
30/7/2019;10.61
31/7/2019;10.73
1/8/2019;10.68
5/8/2019;10.26
6/8/2019;10.16
7/8/2019;10.08
8/8/2019;10.14
9/8/2019;10.07
12/8/2019;9.93
13/8/2019;9.79
14/8/2019;9.6
16/8/2019;9.51
19/8/2019;9.93
20/8/2019;9.97
21/8/2019;10
22/8/2019;10.14
23/8/2019;10
26/8/2019;9.95
27/8/2019;9.96
28/8/2019;10.1
29/8/2019;10.26
30/8/2019;10.36
2/9/2019;10.31
3/9/2019;10.21
4/9/2019;10.19
5/9/2019;10.38
6/9/2019;10.35
9/9/2019;10.25
10/9/2019;10.19
11/9/2019;10.25
12/9/2019;10.17
13/9/2019;10.26
16/9/2019;10.33
17/9/2019;10.24
18/9/2019;10.35
19/9/2019;10.39
20/9/2019;10.44
23/9/2019;10.31
24/9/2019;10.36
25/9/2019;10.29
26/9/2019;10.34
27/9/2019;10.38
30/9/2019;10.36
1/10/2019;10.34
2/10/2019;10.09
3/10/2019;9.97
4/10/2019;9.95
7/10/2019;10.01
8/10/2019;9.93
9/10/2019;10.03
10/10/2019;10.09
11/10/2019;10.24
14/10/2019;10.21
15/10/2019;10.24
16/10/2019;10.26
17/10/2019;10.29
18/10/2019;10.29
21/10/2019;10.33
22/10/2019;10.37
23/10/2019;10.35
24/10/2019;10.35
25/10/2019;10.37
29/10/2019;10.34
30/10/2019;10.35
31/10/2019;10.43
1/11/2019;10.44
4/11/2019;10.43
5/11/2019;10.38
6/11/2019;10.3
7/11/2019;10.4
8/11/2019;10.35
11/11/2019;10.29
12/11/2019;10.39
13/11/2019;10.39
14/11/2019;10.52
15/11/2019;10.52
18/11/2019;10.56
19/11/2019;10.62
20/11/2019;10.6
21/11/2019;10.54
22/11/2019;10.58
25/11/2019;10.63
26/11/2019;10.55
27/11/2019;10.58
28/11/2019;10.65
29/11/2019;10.66
2/12/2019;10.61
3/12/2019;10.49
4/12/2019;10.57
5/12/2019;10.51
6/12/2019;10.46
9/12/2019;10.34
10/12/2019;10.34
11/12/2019;10.55
12/12/2019;10.59
13/12/2019;10.69
16/12/2019;10.61
17/12/2019;10.74
18/12/2019;10.79
19/12/2019;10.76
20/12/2019;10.66
23/12/2019;10.86
24/12/2019;10.86
27/12/2019;10.92
30/12/2019;10.88
31/12/2019;10.89
1/1/2020;10.89
3/1/2020;10.91
7/1/2020;10.96
8/1/2020;10.83
10/1/2020;10.95
13/1/2020;10.9
14/1/2020;10.95
15/1/2020;11.02
16/1/2020;11.09
17/1/2020;11.14
20/1/2020;11.2
21/1/2020;11.24
22/1/2020;11.25
23/1/2020;11.22
24/1/2020;11.33
27/1/2020;11.21
28/1/2020;11.18
29/1/2020;11.19
30/1/2020;11.01
31/1/2020;10.88
3/2/2020;10.81
4/2/2020;10.95
5/2/2020;11.02
6/2/2020;11.02
7/2/2020;10.92
10/2/2020;10.87
11/2/2020;11
12/2/2020;11
13/2/2020;11.02
14/2/2020;11.06
17/2/2020;11.01
18/2/2020;10.92
19/2/2020;10.94
20/2/2020;10.93
21/2/2020;10.71
24/2/2020;9.87
25/2/2020;10.09
26/2/2020;9.85
27/2/2020;9.38
28/2/2020;8.88
3/3/2020;9.47
4/3/2020;9.58
5/3/2020;9.09
6/3/2020;8.63
9/3/2020;7.56
10/3/2020;7.94
11/3/2020;7.76
12/3/2020;7.23
13/3/2020;7.29
16/3/2020;6.71
17/3/2020;6.95
18/3/2020;6.89
19/3/2020;7.22
20/3/2020;7.45
23/3/2020;6.97
24/3/2020;7.36
26/3/2020;7.53
27/3/2020;7.36
30/3/2020;7.4
31/3/2020;7.39
1/4/2020;7.23
2/4/2020;7.33
3/4/2020;7.36
6/4/2020;7.75
7/4/2020;7.96
8/4/2020;7.93
9/4/2020;7.89
10/4/2020;7.89
13/4/2020;7.89
14/4/2020;8.09
15/4/2020;7.98
16/4/2020;8.01
21/4/2020;7.89
22/4/2020;7.88
23/4/2020;8.09
24/4/2020;8.1
27/4/2020;8.23
28/4/2020;8.26
29/4/2020;8.29
30/4/2020;8.19
4/5/2020;7.97
5/5/2020;8.08
6/5/2020;7.99
7/5/2020;8.04
8/5/2020;8.1
11/5/2020;8.06
12/5/2020;8.04
13/5/2020;8
14/5/2020;7.99
15/5/2020;8.01
18/5/2020;8.16
19/5/2020;8.14
20/5/2020;8.22
21/5/2020;8.19
22/5/2020;8.23
25/5/2020;8.34
26/5/2020;8.43
27/5/2020;8.64
28/5/2020;8.67
29/5/2020;8.61
1/6/2020;8.71
2/6/2020;8.84
3/6/2020;8.81
4/6/2020;8.79
5/6/2020;8.95
9/6/2020;8.86
10/6/2020;8.68
11/6/2020;8.53
12/6/2020;8.54
15/6/2020;8.5
16/6/2020;8.78
17/6/2020;8.78
18/6/2020;8.69
19/6/2020;8.74
22/6/2020;8.78
23/6/2020;8.78
24/6/2020;8.76
25/6/2020;8.68
26/6/2020;8.58
29/6/2020;8.56
30/6/2020;8.61
1/7/2020;8.6
2/7/2020;8.82
3/7/2020;8.81
6/7/2020;8.81
7/7/2020;8.72
8/7/2020;8.7
9/7/2020;8.7
10/7/2020;8.67
13/7/2020;8.65
14/7/2020;8.64
15/7/2020;8.74
16/7/2020;8.79
17/7/2020;8.8
